sentence_id,words,labels
0,बिते,O
0,को,O
0,अढाइ,O
0,दशक,O
0,को,O
0,अवधि,O
0,मा,O
0,अत्यधिक,O
0,उद्योग,O
0,हरू,O
0,चीन,B-LOC
0,तथा,O
0,नवोदित,O
0,औद्योगिक,O
0,राष्ट्र,O
0,हरूमा,O
0,सारएि,O
0,।,O
1,समग्र,O
1,देश,O
1,लाई,O
1,एउटै,O
1,एकाइ,O
1,मानेर,O
1,राजनीतिक,O
1,संरचना,O
1,हरू,O
1,बनाउने,O
1,परम्पराविपरीत,O
1,पछिल्लो,O
1,अवधि,O
1,मा,O
1,जातीय,O
1,अल्पसङ्ख्यक,O
1,क्षेत्रीय,O
1,समुदाय,O
1,दलित,O
1,धार्मिक,O
1,र,O
1,लैङ्गिक,O
1,समानता,O
1,का,O
1,लागि,O
1,सङ्र्घषरत,O
1,समूह,O
1,हरूलाई,O
1,समेटेर,O
1,नवमार्क्सवादी,O
1,हरूले,O
1,निर्माण,O
1,गरे,O
1,को,O
1,वैचारकि,O
1,डिस्कोर्स,O
1,ले,O
1,नेपाल,B-LOC
1,मा,O
1,भिन्न,O
1,स्थिति,O
1,सिर्जना,O
1,गरे,O
1,को,O
1,छ,O
1,।,O
2,संसदीय,O
2,प्रणाली,O
2,का,O
2,बारेमा,O
2,प्रचण्ड,B-PER
2,को,O
2,अभिव्यक्ति,O
2,लाई,O
2,काङ्ग्रेस,B-ORG
2,ले,O
2,अन्तर्राष्ट्रियकरण,O
2,गर्न,O
2,खोज्यो,O
2,।,O
3,भूपरविेष्ठित,O
3,मुलुक,O
3,ले,O
3,पाउनु,O
3,पर्ने,O
3,व्यापार,O
3,तथा,O
3,पारवहन,O
3,सन्धि,O
3,कोलकाता,B-LOC
3,बन्दरगाह,I-LOC
3,को,O
3,समस्या,O
3,निकासी,O
3,तथा,O
3,पैठारी,O
3,मा,O
3,दोहोरो,O
3,मापदण्ड,O
3,आदि,O
3,पनि,O
3,विवादित,O
3,विषय,O
3,हरू,O
3,छन्,O
3,।,O
4,नेपाल,B-LOC
4,ले,O
4,याक,O
4,को,O
4,विकास,O
4,गर्न,O
4,सकेन,O
4,।,O
5,राखेप,B-ORG
5,नेतृत्व,O
5,मा,O
5,देखिए,O
5,को,O
5,अन्योलता,O
5,हटाउन,O
5,कै,O
5,लागि,O
5,खेलकुदमन्त्री,O
5,नेपाली,B-PER
5,गृहनगर,O
5,महोत्तरी,B-LOC
5,को,O
5,भ्रमण,O
5,मा,O
5,रहे,O
5,का,O
5,छन्,O
5,।,O
6,शुरु,O
6,मा,O
6,शेयर,O
6,को,O
6,प्रतिशत,O
6,जम्,O
6,मा,O
6,गर्नु,O
6,पर्ने,O
6,नियम,O
6,अनुसार,O
6,यस,O
6,वापत,O
6,को,O
6,करोड,O
6,लाख,O
6,को,O
6,भौचर,O
6,प्राप्त,O
6,भएको,O
6,एनआरएन,B-ORG
6,कोरिया,I-ORG
6,का,O
6,अध्यक्ष,O
6,केपी,B-PER
6,सिटौला,I-PER
6,ले,O
6,जनाए,O
6,का,O
6,छन्,O
6,।,O
7,धर्मभक्त,B-PER
7,माथेमा,I-PER
7,लाई,O
7,गोलघर,O
7,मा,O
7,एक,O
7,दिन,O
7,राखेर,O
7,प्राणदण्ड,O
7,दिइए,O
7,को,O
7,थियो,O
7,।,O
8,श्रीमती,O
8,लाई,O
8,अस्पताल,O
8,को,O
8,मेसो,O
8,मिलाउन,O
8,पछि,O
8,पछि,O
8,दौडिने,O
8,डा,O
8,भोला,B-PER
8,रिजाल,I-PER
8,नै,O
8,थिए,O
8,।,O
9,दुई,O
9,महिना,O
9,पछि,O
9,खनाल,B-PER
9,सहित,O
9,को,O
9,अल्पमत,O
9,पक्ष,O
9,का,O
9,कारण,O
9,बोगटी,B-PER
9,प्रकरण,O
9,भयो,O
9,।,O
10,काभ्रे,B-LOC
10,माघ,O
10,सोमबार,O
10,बनेपा,B-LOC
10,मा,O
10,भएको,O
10,एमाओवादी,B-ORG
10,काभ्रे,I-ORG
10,को,O
10,दोस्रो,O
10,जिल्ला,O
10,अधिवेशन,O
10,मा,O
10,वाईसीएल,B-ORG
10,कार्यकर्ता,O
10,को,O
10,कुटपिट,O
10,बाट,O
10,घाइते,O
10,पत्रकार,O
10,हरुको,O
10,अवस्था,O
10,बुझन्,O
10,नेपाल,B-ORG
10,पत्रकार,I-ORG
10,महासंघ,I-ORG
10,को,O
10,केन्द्रीय,O
10,टोली,O
10,काभ्रे,B-LOC
10,पुगे,O
10,को,O
10,छ,O
10,।,O
11,सशस्त्र,B-ORG
11,सेना,I-ORG
11,का,O
11,टोलि,O
11,हरू,O
11,लाई,O
11,सजग,O
11,गराइए,O
11,को,O
11,छ,O
11,भने,O
11,चुनाव,O
11,केन्द्र,O
11,मा,O
11,हुन,O
11,सक्ने,O
11,सानो,O
11,गडबडि,O
11,ले,O
11,पनि,O
11,ठूलो,O
11,रूप,O
11,धारण,O
11,गर्न,O
11,सक्ने,O
11,सम्भावना,O
11,छ,O
11,।,O
12,समय,O
12,ले,O
12,दाहाल,B-PER
12,लाई,O
12,व्यवहार,O
12,देखाउन,O
12,अनुमति,O
12,दिए,O
12,को,O
12,छ,O
12,।,O
13,यस,O
13,ले,O
13,गर्दा,O
13,काङ्ग्रेस,B-ORG
13,उच्च,O
13,मध्यमवर्ग,O
13,को,O
13,पार्टी,O
13,हुने,O
13,तिर,O
13,अर्थात्,O
13,दक्षिणपन्थ,O
13,तिर,O
13,धकेलिए,O
13,को,O
13,देखाउँछ,O
13,।,O
14,मध्य,B-ORG
14,पश्चिमांचल,I-ORG
14,क्षेत्रिय,I-ORG
14,आंखा,I-ORG
14,उपचार,I-ORG
14,केन्द्र,I-ORG
14,",",O
14,फत्तेवाल,B-ORG
14,आंखा,I-ORG
14,अस्पताल,I-ORG
14,फुलटेक्रा,I-ORG
14,नेपालगंज,I-ORG
14,र,O
14,नेपाल,B-ORG
